Label,Id
"""matrigna""","villain,caregiver"
"""zia""","dispatcher,magician"
"""bel giovane""","dispatcher,lover"
"""bella damigella""","helper,creator"
"""colonna""","helper,object"
"""Re degli animali""","villain,magician"
"""Principe""","helper,lover"
"""padre""","dispatcher,caregiver"
"""Re""","dispatcher,sovereign"
"""Regina""","villain,lover"
"""Sandrino""","protagonist,rebel"
"""figlia""","villain,lover"
"""gentiluomo""","helper,magician"
"""Diavolo""","helper,magician"
"""cameriere""","helper,citizen"
"""Re""","dispatcher,sovereign"
"""Intendente""","dispatcher,citizen"
"""Zosa""","prize,lover"
"""sorelle""","villain,lover"
"""Re""","villain,caregiver"
"""Regina""","helper,caregiver"
"""Zizola""","protagonist,innocent"
"""Principe""","protagonist,lover"
"""Regina""","helper,sage"
"""poveruomo""","dispatcher,caregiver"
"""Sandrino""","protagonist,hero"
"""Regina delle Tre Montagne d'Oro""","prize,magician"
"""bestie feroci""","villain,animal"
"""locandiere""","helper,magician"
"""locandiere""","helper,magician"
"""locandiere""","helper,magician"
"""aquila""","helper,animal"
"""Re""","helper,sovereign"
"""poveruomo""","dispatcher,caregiver"
"""Fiore""","protagonist,explorer"
"""Arciprete""","villain,jester"
"""serva""","villain,citizen"
"""Giovanni""","protagonist,sovereign"
"""Pìrolo""","protagonist,jester"
"""Re""","dispatcher,sovereign"
"""medici""","helper,sage"
"""uomo""","protagonist,hero"
"""locandiere""","dispatcher,citizen"
"""barcaiolo""","dispatcher,citizen"
"""due signori""","dispatcher,citizen"
"""frati""","helper,sage"
"""ragazza""","helper,creator"
"""Orco""","villain,monster"
